file	n_ex	numbering	ital_names	bold_names	tags	nested_subitems	inline_letter_marks	cites	xrefs
chapter_computer-vision/object-detection-dataset.md	2	repeated-1	0	0	-	0	0	0	0
chapter_computer-vision/rcnn.md	2	repeated-1	0	0	-	0	0	2	0
chapter_computer-vision/semantic-segmentation-and-dataset.md	2	repeated-1	0	0	-	0	0	0	1
chapter_computer-vision/ssd.md	2	sequential	0	0	-	4	0	2	0
chapter_computer-vision/transposed-conv.md	2	repeated-1	0	0	-	0	0	0	1
chapter_natural-language-processing-pretraining/approx-training.md	3	repeated-1	0	0	-	0	0	0	1
chapter_natural-language-processing-pretraining/bert-dataset.md	2	repeated-1	0	0	-	0	0	0	0
chapter_natural-language-processing-pretraining/bert-pretraining.md	2	sequential	0	0	-	0	0	0	0
chapter_natural-language-processing-pretraining/bert.md	2	repeated-1	0	0	-	0	0	1	0
chapter_natural-language-processing-pretraining/glove.md	2	repeated-1	0	0	-	0	0	1	0
chapter_natural-language-processing-pretraining/seq2seq.md	7	repeated-1	0	0	-	0	0	1	3
chapter_natural-language-processing-pretraining/similarity-analogy.md	2	repeated-1	0	0	-	0	0	0	0
chapter_natural-language-processing-pretraining/subword-embedding.md	4	repeated-1	0	0	-	0	0	1	0
chapter_natural-language-processing-pretraining/word-embedding-dataset.md	3	repeated-1	0	0	-	0	0	0	0
chapter_natural-language-processing-pretraining/word2vec-pretraining.md	3	mixed	0	0	-	0	0	0	0
chapter_natural-language-processing-pretraining/word2vec.md	3	repeated-1	0	0	-	0	0	1	0
chapter_natural-language-processing-applications/finetuning-bert.md	3	repeated-1	0	0	-	0	0	0	1
chapter_natural-language-processing-applications/natural-language-inference-and-dataset.md	2	repeated-1	0	0	-	0	0	0	0
chapter_natural-language-processing-applications/natural-language-inference-attention.md	3	repeated-1	0	0	-	0	0	0	0
chapter_natural-language-processing-applications/natural-language-inference-bert.md	2	repeated-1	0	0	-	0	0	0	0
chapter_natural-language-processing-applications/sentiment-analysis-and-dataset.md	2	repeated-1	0	0	-	0	0	0	0
chapter_natural-language-processing-applications/sentiment-analysis-cnn.md	3	repeated-1	0	0	-	0	0	0	2
chapter_natural-language-processing-applications/sentiment-analysis-rnn.md	3	repeated-1	0	0	-	0	0	0	0
